Certamen;Inter./Nacional;Fecha;Cervecería;Cerveza Ganadora;ESTILO;Medalla;Ciudad
BBA, Brazilian International Beer Awards;Internacional;noviembre 2025;Cerveceria Jester Colaboración con Tierra cervecera;nube voladora;Juicy or Hazy India Pale Ale;PLATA;Santiago
BBA, Brazilian International Beer Awards;Internacional;noviembre 2025;Ceveceria FaRio;Golden Ale;Golden or Blonde Ale;BRONCE;coyhaique
BBA, Brazilian International Beer Awards;Internacional;noviembre 2025;ConsedBeer;Malbec!;Sour Italian Grape Ale;BRONCE;Santiago
BBA, Brazilian International Beer Awards;Internacional;noviembre 2025;INIGUEZ;American Stout;American-Style Stout;BRONCE;CONSTITUCION
BBA, Brazilian International Beer Awards;Internacional;noviembre 2025;Mil Demonios;(i?+m)?=0;American-Style Barley Wine Ale;BRONCE;Santiago
BioBio Beer Cup - Chile;Nacional;diciembre 2025;Agua&Sol;La Maravilla es de SanVI;American-Style Sour Ale;Plata;San Vicente de Tagua Tagua
BioBio Beer Cup - Chile;Nacional;diciembre 2025;Agua&Sol;Mañana Me Chanto;Belgian-Style Fruit Beer;Oro;San Vicente de Tagua Tagua
BioBio Beer Cup - Chile;Nacional;diciembre 2025;Alameda Beer C.;Cielito lindo;Golden or Blonde Ale;Bronce;Santiago
BioBio Beer Cup - Chile;Nacional;diciembre 2025;Alameda Beer C.;San Pato;Classic Irish-Style Dry Stout;Bronce;Santiago
BioBio Beer Cup - Chile;Nacional;diciembre 2025;Ayewun;American Chilli Strong;Chili Pepper Beer;Plata;Concepción
BioBio Beer Cup - Chile;Nacional;diciembre 2025;Ayewun;Chili Stout;Chili Pepper Beer;Bronce;Concepción
BioBio Beer Cup - Chile;Nacional;diciembre 2025;Ayewun;Fuerte y Peligrosa;Imperial Red Ale;Bronce;Concepción
BioBio Beer Cup - Chile;Nacional;diciembre 2025;Ayewun;Parque Laguna;Classic English-Style Pale Ale;Bronce;Concepción
BioBio Beer Cup - Chile;Nacional;diciembre 2025;Ayewun;Rebeldía;British-Style Imperial Stout;Plata;Concepción
BioBio Beer Cup - Chile;Nacional;diciembre 2025;Ayewun;Rebeldía;British-Style Imperial Stout;Best of Show PLATA;Chile
BioBio Beer Cup - Chile;Nacional;diciembre 2025;Bodega Intrinsical;Contrabando;Export-Style Stout;Oro;santiago
